Wall time,Step,Value
1557779981.8107111,100,12.470000267028809
1557779990.8100858,200,11.779999732971191
1557780001.043729,300,13.079999923706055
1557780010.7930415,400,12.4399995803833
1557780021.3079243,500,13.670000076293945
1557780031.119732,600,12.760000228881836
1557780041.978341,700,13.649999618530273
1557780052.508848,800,13.670000076293945
1557780063.195594,900,13.890000343322754
1557780074.4343486,1000,14.34000015258789
1557780084.7148728,1100,13.4399995803833
1557780095.2141325,1200,13.699999809265137
1557780106.4320917,1300,14.300000190734863
1557780116.837607,1400,13.390000343322754
1557780128.6648984,1500,15.359999656677246
1557780139.9297276,1600,14.520000457763672
1557780152.0069997,1700,15.8100004196167
1557780164.1311455,1800,15.5600004196167
1557780175.8803167,1900,15.369999885559082
1557780187.67636,2000,15.229999542236328
1557780199.6442652,2100,15.289999961853027
1557780212.8308358,2200,17.18000030517578
1557780225.5486875,2300,16.15999984741211
1557780240.1101599,2400,19.030000686645508
1557780254.3747823,2500,18.43000030517578
1557780266.6395392,2600,15.819999694824219
1557780280.9822779,2700,16.270000457763672
1557780298.371676,2800,19.739999771118164
1557780313.495608,2900,16.979999542236328
1557780329.228874,3000,18.040000915527344
1557780347.321347,3100,20.25
1557780364.773244,3200,19.540000915527344
1557780379.3972096,3300,18.899999618530273
1557780392.630651,3400,17.25
1557780409.191982,3500,21.399999618530273
1557780422.3785517,3600,17.170000076293945
1557780436.2525728,3700,17.8799991607666
1557780451.6577368,3800,19.950000762939453
1557780468.187821,3900,21.40999984741211
1557780483.3586247,4000,19.8700008392334
1557780498.5919247,4100,19.3799991607666
1557780512.8721673,4200,18.530000686645508
1557780529.1678965,4300,21.06999969482422
1557780544.6043038,4400,20.0
1557780560.2907023,4500,20.229999542236328
1557780575.0709057,4600,19.350000381469727
1557780592.0384574,4700,21.739999771118164
1557780609.3184896,4800,22.209999084472656
1557780624.2080631,4900,19.329999923706055
1557780641.5974612,5000,22.260000228881836
1557780660.3930106,5100,24.559999465942383
1557780677.7667854,5200,19.81999969482422
1557780695.8436341,5300,20.520000457763672
1557780716.5452993,5400,23.329999923706055
1557780738.0594065,5500,24.229999542236328
1557780758.6360798,5600,23.209999084472656
1557780776.8847928,5700,20.649999618530273
1557780797.8833108,5800,23.559999465942383
1557780817.9912677,5900,22.989999771118164
1557780838.114848,6000,22.8799991607666
1557780858.8321364,6100,23.299999237060547
1557780880.221253,6200,24.209999084472656
1557780899.594885,6300,21.93000030517578
1557780921.1714885,6400,24.600000381469727
1557780941.451319,6500,23.0
1557780961.9967327,6600,23.40999984741211
1557780980.0423393,6700,20.399999618530273
1557780999.306601,6800,21.920000076293945
1557781021.0081956,6900,24.049999237060547
1557781042.1055448,7000,23.799999237060547
1557781065.119547,7100,26.040000915527344
1557781085.336871,7200,23.059999465942383
1557781108.960204,7300,26.639999389648438
1557781129.771235,7400,23.540000915527344
1557781150.8010023,7500,23.799999237060547
1557781172.205742,7600,24.350000381469727
1557781191.5481286,7700,21.940000534057617
1557781214.0777886,7800,25.610000610351562
1557781234.310735,7900,23.09000015258789
1557781257.4341042,8000,26.360000610351562
1557781280.1356275,8100,25.799999237060547
1557781303.4621081,8200,26.489999771118164
1557781326.7417207,8300,26.760000228881836
1557781350.2713046,8400,26.68000030517578
1557781371.7385402,8500,24.31999969482422
1557781394.5494318,8600,25.809999465942383
1557781416.7353797,8700,25.43000030517578
1557781438.4682078,8800,24.549999237060547
1557781458.4199262,8900,22.610000610351562
1557781482.7150908,9000,27.43000030517578
1557781503.9323387,9100,24.049999237060547
1557781525.446459,9200,24.200000762939453
1557781548.6323106,9300,26.190000534057617
1557781568.9902499,9400,23.059999465942383
1557781589.9106488,9500,23.770000457763672
1557781612.0028412,9600,24.809999465942383
1557781635.4855602,9700,26.6200008392334
1557781655.421653,9800,22.75
1557781680.2324033,9900,28.18000030517578
1557781702.1214828,9999,24.780000686645508
